council_district,standardized_category,lat_bin_approx_100m,lon_bin_approx_100m,cluster_request_count,open_cluster_count,long_resolution_cluster_count,median_resolution_days
D,Solid Waste / Recycling,29.634,-95.365,3,0,1,11.752268518518518
D,Solid Waste / Recycling,29.634,-95.362,3,0,2,26.19928240740741
H,Water,29.831,-95.399,3,0,0,0.0652893518518518
H,Water,29.831,-95.396,3,0,0,0.0693518518518518
H,Water,29.841,-95.403,3,0,0,0.0811226851851851
H,Water,29.854,-95.387,3,2,0,1.0050115740740742
H,Water,29.854,-95.362,3,0,0,0.0516550925925925
H,Water,29.871,-95.385,3,0,1,0.1750810185185185
A,Water,29.869,-95.502,3,0,2,38.997008101851854
H,Water,29.786,-95.36,3,0,1,0.5695023148148148
H,Water,29.79,-95.385,3,0,2,15.806608796296295
H,Water,29.79,-95.383,3,0,0,0.1982523148148148
H,Water,29.792,-95.373,3,0,0,3.985138888888889
H,Water,29.794,-95.364,3,0,1,4.174513888888889
H,Water,29.795,-95.365,3,0,0,0.2616782407407407
H,Water,29.804,-95.368,3,0,2,16.939849537037038
H,Water,29.804,-95.353,3,2,0,0.345474537037037
H,Water,29.805,-95.357,3,1,0,0.7598553240740741
C,Solid Waste / Recycling,29.732,-95.41,3,1,1,17.882453703703703
C,Solid Waste / Recycling,29.732,-95.406,3,0,1,4.693159722222222
C,Solid Waste / Recycling,29.732,-95.396,3,0,1,18.54403935185185
C,Solid Waste / Recycling,29.732,-95.394,3,1,2,27.627534722222222
C,Solid Waste / Recycling,29.732,-95.389,3,0,2,14.422465277777778
C,Solid Waste / Recycling,29.733,-95.414,3,0,1,14.842280092592592
C,Solid Waste / Recycling,29.733,-95.4,3,1,2,18.908043981481484
D,Solid Waste / Recycling,29.63,-95.364,3,0,3,33.08436342592593
D,Solid Waste / Recycling,29.631,-95.341,3,0,2,18.130300925925926
D,Solid Waste / Recycling,29.632,-95.326,3,0,0,1.1687962962962963
D,Solid Waste / Recycling,29.633,-95.353,3,0,1,2.808692129629629
H,Water,29.823,-95.39,3,1,0,1.5011631944444441
H,Water,29.825,-95.388,3,0,1,3.9464236111111113
H,Water,29.827,-95.375,3,0,0,0.6693402777777778
H,Water,29.828,-95.391,3,1,1,15.111307870370371
H,Water,29.831,-95.4,3,0,0,0.1277777777777777
I,Road / Pothole / Bridge,29.649,-95.266,3,1,1,15.455167824074074
I,Road / Pothole / Bridge,29.652,-95.258,3,0,0,0.8665625
I,Road / Pothole / Bridge,29.669,-95.262,3,0,2,60.45666666666668
A,Water,29.883,-95.506,3,0,0,0.0786458333333333
B,Drainage / Flooding,29.766,-95.337,3,1,1,14.794762731481482
B,Drainage / Flooding,29.817,-95.298,3,1,1,39.75445601851852
B,Drainage / Flooding,29.843,-95.269,3,1,2,48.4853125
B,Drainage / Flooding,29.851,-95.443,3,0,0,6.830439814814815
B,Drainage / Flooding,29.851,-95.431,3,1,2,95.78039930555556
B,Drainage / Flooding,29.857,-95.262,3,1,0,2.8328125
B,Drainage / Flooding,29.858,-95.271,3,0,1,4.812222222222222
B,Drainage / Flooding,29.872,-95.433,3,0,1,9.811851851851852
I,Drainage / Flooding,29.629,-95.273,3,1,1,23.162019675925926
I,Drainage / Flooding,29.633,-95.268,3,1,0,12.768900462962964
I,Drainage / Flooding,29.685,-95.259,3,1,0,5.01351273148148
I,Drainage / Flooding,29.694,-95.302,3,1,0,7.476116898148147
D,Solid Waste / Recycling,29.626,-95.324,3,2,1,43.85299768518519
D,Solid Waste / Recycling,29.627,-95.349,3,0,2,22.015636574074072
D,Solid Waste / Recycling,29.627,-95.343,3,0,2,21.031111111111112
D,Solid Waste / Recycling,29.628,-95.363,3,1,0,8.01814236111111
D,Solid Waste / Recycling,29.628,-95.341,3,0,1,7.84787037037037
C,Solid Waste / Recycling,29.73,-95.4,3,1,1,16.912980324074073
C,Solid Waste / Recycling,29.73,-95.397,3,0,2,45.95353587962963
D,Solid Waste / Recycling,29.622,-95.344,3,0,1,10.033495370370373
I,Drainage / Flooding,29.696,-95.314,3,1,0,3.6190162037037035
I,Drainage / Flooding,29.736,-95.254,3,0,1,70.9935474537037
I,Road / Pothole / Bridge,29.605,-95.264,3,0,0,0.794375
I,Road / Pothole / Bridge,29.613,-95.271,3,1,0,1.5510300925925924
I,Road / Pothole / Bridge,29.631,-95.276,3,1,1,39.538587962962964
I,Road / Pothole / Bridge,29.642,-95.305,3,0,0,0.6749537037037037
I,Road / Pothole / Bridge,29.643,-95.3,3,0,0,0.7925
I,Road / Pothole / Bridge,29.643,-95.266,3,1,1,27.87521412037037
D,Solid Waste / Recycling,29.625,-95.366,3,0,2,27.895069444444445
D,Solid Waste / Recycling,29.621,-95.409,3,0,1,22.509247685185187
A,Water,29.842,-95.484,3,0,0,1.0885648148148148
A,Water,29.85,-95.475,3,0,1,0.0224305555555555
A,Water,29.858,-95.467,3,0,1,1.0580555555555555
A,Water,29.858,-95.466,3,0,0,1.1793518518518518
A,Water,29.86,-95.531,3,0,0,1.2587962962962962
A,Water,29.86,-95.472,3,1,0,0.6166203703703702
I,Road / Pothole / Bridge,29.702,-95.305,3,0,2,19.335266203703704
I,Road / Pothole / Bridge,29.703,-95.321,3,2,0,
I,Road / Pothole / Bridge,29.705,-95.317,3,0,1,17.94677662037037
I,Road / Pothole / Bridge,29.707,-95.281,3,0,0,7.995787037037037
I,Drainage / Flooding,29.695,-95.319,3,1,0,2.8744212962962963
D,Solid Waste / Recycling,29.625,-95.345,3,1,0,3.4462268518518515
D,Solid Waste / Recycling,29.626,-95.384,3,2,1,72.76365740740741
D,Solid Waste / Recycling,29.626,-95.351,3,0,2,32.10351851851852
I,Road / Pothole / Bridge,29.729,-95.337,3,0,1,0.4685069444444444
I,Road / Pothole / Bridge,29.73,-95.282,3,0,1,13.72962962962963
I,Road / Pothole / Bridge,29.733,-95.285,3,0,1,1.6332523148148148
I,Road / Pothole / Bridge,29.734,-95.289,3,0,2,16.019375
I,Road / Pothole / Bridge,29.746,-95.362,3,2,0,13.810972222222222
I,Road / Pothole / Bridge,29.753,-95.35,3,0,0,4.042361111111111
I,Road / Pothole / Bridge,29.757,-95.367,3,2,0,1.703900462962963
I,Road / Pothole / Bridge,29.757,-95.351,3,0,0,7.898020833333334
I,Road / Pothole / Bridge,29.759,-95.363,3,0,0,0.5656712962962963
A,Water,29.842,-95.559,3,0,0,6.231400462962963
D,Solid Waste / Recycling,29.622,-95.333,3,0,2,41.11225694444445
D,Solid Waste / Recycling,29.623,-95.383,3,0,1,5.652708333333333
D,Solid Waste / Recycling,29.623,-95.35,3,1,1,43.29472222222222
D,Solid Waste / Recycling,29.623,-95.332,3,0,3,14.964444444444444
D,Solid Waste / Recycling,29.623,-95.237,3,1,1,18.374189814814816
D,Solid Waste / Recycling,29.624,-95.236,3,0,0,4.93300925925926
I,Sewer / Wastewater,29.707,-95.281,3,0,0,0.2416666666666666
I,Sewer / Wastewater,29.73,-95.299,3,0,0,2.630619212962963
I,Sewer / Wastewater,29.734,-95.332,3,0,0,0.7277546296296297
I,Road / Pothole / Bridge,29.794,-95.259,3,1,0,0.8985763888888889
I,Road / Pothole / Bridge,29.803,-95.229,3,0,1,6.095868055555556
I,Sewer / Wastewater,29.61,-95.25,3,0,0,0.1454976851851852
I,Sewer / Wastewater,29.636,-95.248,3,0,0,0.2318055555555555
I,Sewer / Wastewater,29.641,-95.256,3,1,0,6.285827546296296
I,Sewer / Wastewater,29.654,-95.303,3,1,0,1.168773148148148
I,Sewer / Wastewater,29.666,-95.296,3,0,0,3.0785185185185187
I,Sewer / Wastewater,29.667,-95.268,3,0,0,0.3211689814814815
I,Sewer / Wastewater,29.699,-95.271,3,1,0,0.02679976851851845
I,Sewer / Wastewater,29.7,-95.308,3,0,0,1.331261574074074
I,Sewer / Wastewater,29.7,-95.273,3,0,1,12.143912037037037
I,Sewer / Wastewater,29.706,-95.294,3,0,0,0.0856134259259259
A,Water,29.803,-95.487,3,0,0,0.9646527777777778
C,Solid Waste / Recycling,29.734,-95.405,3,0,0,0.0225578703703703
C,Solid Waste / Recycling,29.734,-95.398,3,0,2,24.912152777777777
C,Solid Waste / Recycling,29.734,-95.387,3,2,0,
C,Solid Waste / Recycling,29.735,-95.413,3,0,0,4.008067129629629
C,Solid Waste / Recycling,29.735,-95.39,3,2,1,33.289594907407405
C,Solid Waste / Recycling,29.735,-95.387,3,0,2,14.88523148148148
D,Solid Waste / Recycling,29.621,-95.398,3,0,1,9.169780092592593
D,Solid Waste / Recycling,29.621,-95.397,3,0,0,12.744982638888889
D,Solid Waste / Recycling,29.622,-95.384,3,1,1,38.06487268518519
A,Water,29.806,-95.447,3,0,1,5.215138888888889
A,Water,29.807,-95.476,3,0,0,0.4299884259259259
A,Water,29.81,-95.515,3,0,0,0.1785648148148148
A,Water,29.814,-95.449,3,0,0,0.4706655092592592
A,Water,29.816,-95.455,3,0,0,1.263587962962963
A,Water,29.827,-95.51,3,0,0,0.1137962962962963
A,Water,29.834,-95.549,3,0,0,0.9679282407407408
I,Solid Waste / Recycling,29.613,-95.241,3,1,1,22.87857638888889
I,Solid Waste / Recycling,29.614,-95.277,3,1,1,34.876041666666666
I,Solid Waste / Recycling,29.616,-95.277,3,0,1,11.029988425925923
I,Sewer / Wastewater,29.735,-95.317,3,0,0,0.1342708333333333
I,Sewer / Wastewater,29.736,-95.261,3,0,2,27.89109953703704
I,Sewer / Wastewater,29.737,-95.336,3,1,1,12.492783564814815
I,Sewer / Wastewater,29.737,-95.262,3,0,1,0.9590277777777778
I,Sewer / Wastewater,29.741,-95.297,3,0,0,1.5584953703703703
I,Sewer / Wastewater,29.747,-95.358,3,0,0,1.039236111111111
I,Sewer / Wastewater,29.758,-95.37,3,0,0,0.0478819444444444
I,Solid Waste / Recycling,29.603,-95.252,3,0,0,6.111087962962963
I,Solid Waste / Recycling,29.603,-95.246,3,1,1,83.77043981481482
I,Solid Waste / Recycling,29.605,-95.256,3,1,1,27.525688657407407
I,Solid Waste / Recycling,29.606,-95.27,3,0,2,43.44071180555555
I,Solid Waste / Recycling,29.607,-95.269,3,0,2,19.72164351851852
A,Water,29.806,-95.477,3,0,0,3.400138888888889
D,Solid Waste / Recycling,29.618,-95.406,3,0,0,11.530277777777778
D,Solid Waste / Recycling,29.619,-95.378,3,0,1,9.594699074074072
D,Solid Waste / Recycling,29.62,-95.392,3,0,0,10.188466435185184
D,Solid Waste / Recycling,29.62,-95.384,3,2,0,9.97087962962963
D,Solid Waste / Recycling,29.62,-95.367,3,0,1,1.993125
D,Solid Waste / Recycling,29.62,-95.36,3,0,1,0.0007060185185185
D,Solid Waste / Recycling,29.621,-95.41,3,2,1,37.06956018518518
D,Solid Waste / Recycling,29.614,-95.365,3,0,1,11.669618055555556
I,Solid Waste / Recycling,29.607,-95.244,3,0,1,10.999421296296296
I,Solid Waste / Recycling,29.607,-95.242,3,1,1,14.229357638888889
I,Solid Waste / Recycling,29.608,-95.273,3,1,1,22.376521990740738
I,Solid Waste / Recycling,29.608,-95.252,3,0,0,4.943900462962963
I,Solid Waste / Recycling,29.608,-95.249,3,0,2,24.849351851851853
I,Solid Waste / Recycling,29.609,-95.255,3,0,0,0.8168865740740741
I,Solid Waste / Recycling,29.611,-95.26,3,1,1,100.02083333333331
I,Solid Waste / Recycling,29.613,-95.256,3,1,1,18.452615740740743
I,Solid Waste / Recycling,29.632,-95.27,3,2,0,2.149016203703704
I,Solid Waste / Recycling,29.632,-95.216,3,0,0,8.810335648148149
A,Water,29.79,-95.474,3,0,0,0.962835648148148
A,Water,29.79,-95.464,3,1,0,0.3016782407407407
I,Solid Waste / Recycling,29.62,-95.273,3,1,0,5.064728009259259
I,Solid Waste / Recycling,29.621,-95.298,3,2,0,5.798495370370371
I,Solid Waste / Recycling,29.621,-95.254,3,1,1,53.489131944444445
I,Solid Waste / Recycling,29.621,-95.251,3,2,0,12.060092592592593
I,Solid Waste / Recycling,29.622,-95.297,3,2,0,8.109918981481481
I,Solid Waste / Recycling,29.624,-95.216,3,0,1,5.042222222222223
I,Solid Waste / Recycling,29.626,-95.26,3,1,2,28.840891203703706
I,Solid Waste / Recycling,29.626,-95.209,3,0,1,2.890925925925926
I,Solid Waste / Recycling,29.627,-95.219,3,1,0,2.078009259259259
I,Solid Waste / Recycling,29.607,-95.264,3,1,2,33.187013888888885
D,Solid Waste / Recycling,29.617,-95.351,3,0,2,42.06909722222223
D,Solid Waste / Recycling,29.617,-95.316,3,0,3,24.06894675925926
D,Solid Waste / Recycling,29.615,-95.347,3,0,1,0.971099537037037
D,Solid Waste / Recycling,29.615,-95.316,3,0,1,11.867708333333333
D,Solid Waste / Recycling,29.615,-95.233,3,1,2,20.224340277777777
D,Solid Waste / Recycling,29.615,-95.229,3,0,0,2.8096875
D,Solid Waste / Recycling,29.616,-95.412,3,0,0,2.0771875
D,Solid Waste / Recycling,29.616,-95.41,3,0,1,10.716469907407408
D,Solid Waste / Recycling,29.616,-95.409,3,1,1,26.464427083333334
D,Solid Waste / Recycling,29.616,-95.404,3,0,0,0.0642824074074074
D,Solid Waste / Recycling,29.616,-95.337,3,0,3,23.654641203703704
D,Solid Waste / Recycling,29.605,-95.225,3,0,0,6.128680555555556
I,Solid Waste / Recycling,29.627,-95.216,3,0,1,0.8926273148148148
I,Solid Waste / Recycling,29.628,-95.269,3,1,1,24.84197337962963
I,Solid Waste / Recycling,29.628,-95.207,3,0,2,59.4365162037037
I,Solid Waste / Recycling,29.629,-95.213,3,1,2,17.065104166666664
I,Solid Waste / Recycling,29.63,-95.215,3,0,0,1.6713773148148148
I,Solid Waste / Recycling,29.632,-95.272,3,0,2,36.45897569444445
C,Solid Waste / Recycling,29.737,-95.39,3,3,0,
D,Solid Waste / Recycling,29.612,-95.369,3,1,1,18.345283564814814
D,Solid Waste / Recycling,29.613,-95.34,3,0,1,1.917349537037037
D,Solid Waste / Recycling,29.604,-95.222,3,0,1,5.340092592592592
A,Water,29.792,-95.545,3,0,0,0.6490625
A,Water,29.793,-95.572,3,2,0,0.0013078703703703
A,Water,29.795,-95.477,3,0,0,0.787181712962963
A,Water,29.798,-95.688,3,0,0,0.8290625
A,Water,29.8,-95.506,3,0,0,0.0544675925925925
A,Water,29.801,-95.492,3,0,0,0.1640972222222222
I,Solid Waste / Recycling,29.636,-95.252,3,1,1,67.44749421296297
I,Solid Waste / Recycling,29.637,-95.256,3,1,0,4.0083217592592595
I,Solid Waste / Recycling,29.627,-95.218,3,0,1,7.354664351851852
D,Solid Waste / Recycling,29.615,-95.409,3,0,1,15.320648148148148
D,Solid Waste / Recycling,29.615,-95.403,3,0,3,45.53158564814815
D,Solid Waste / Recycling,29.615,-95.396,3,0,0,6.9305208333333335
I,Solid Waste / Recycling,29.637,-95.254,3,0,0,0.2665393518518518
I,Solid Waste / Recycling,29.64,-95.258,3,1,0,2.579525462962963
I,Solid Waste / Recycling,29.649,-95.312,3,0,1,2.919907407407408
I,Solid Waste / Recycling,29.659,-95.303,3,1,0,0.8305266203703704
I,Solid Waste / Recycling,29.662,-95.282,3,0,1,7.032152777777778
I,Solid Waste / Recycling,29.662,-95.279,3,0,0,4.387013888888888
I,Solid Waste / Recycling,29.662,-95.278,3,0,1,4.198449074074074
I,Solid Waste / Recycling,29.663,-95.311,3,1,0,8.20630787037037
I,Solid Waste / Recycling,29.663,-95.31,3,0,0,2.694675925925926
I,Solid Waste / Recycling,29.664,-95.313,3,0,1,10.05550925925926
D,Solid Waste / Recycling,29.605,-95.223,3,0,1,6.049907407407408
D,Solid Waste / Recycling,29.607,-95.231,3,1,0,6.467905092592591
D,Solid Waste / Recycling,29.61,-95.237,3,0,3,85.61780092592592
C,Solid Waste / Recycling,29.736,-95.416,3,1,1,11.152424768518518
C,Solid Waste / Recycling,29.736,-95.391,3,0,2,17.00599537037037
C,Solid Waste / Recycling,29.737,-95.422,3,0,0,4.9904166666666665
I,Solid Waste / Recycling,29.675,-95.261,3,0,1,11.053796296296296
I,Solid Waste / Recycling,29.675,-95.258,3,1,1,11.893402777777776
I,Solid Waste / Recycling,29.676,-95.276,3,0,2,23.891203703703702
I,Solid Waste / Recycling,29.664,-95.312,3,3,0,
I,Solid Waste / Recycling,29.664,-95.3,3,0,2,36.65493055555555
I,Solid Waste / Recycling,29.664,-95.281,3,0,1,2.8650462962962964
I,Solid Waste / Recycling,29.665,-95.284,3,1,0,5.448043981481481
I,Solid Waste / Recycling,29.665,-95.279,3,0,3,22.74436342592593
I,Solid Waste / Recycling,29.667,-95.281,3,0,2,17.884525462962962
I,Solid Waste / Recycling,29.667,-95.279,3,0,1,13.996574074074074
I,Solid Waste / Recycling,29.668,-95.315,3,2,0,0.0012037037037037
I,Solid Waste / Recycling,29.668,-95.31,3,2,1,27.783449074074078
I,Solid Waste / Recycling,29.668,-95.305,3,0,0,2.268287037037037
I,Solid Waste / Recycling,29.668,-95.264,3,2,0,0.0010069444444444
I,Solid Waste / Recycling,29.669,-95.305,3,0,2,66.9723900462963
I,Solid Waste / Recycling,29.669,-95.302,3,2,0,0.6885648148148148
C,Solid Waste / Recycling,29.738,-95.39,3,1,2,19.99791087962963
C,Solid Waste / Recycling,29.738,-95.385,3,1,1,33.27015625
C,Solid Waste / Recycling,29.74,-95.423,3,0,0,6.91167824074074
C,Solid Waste / Recycling,29.74,-95.422,3,0,0,7.122002314814814
D,Solid Waste / Recycling,29.605,-95.355,3,0,1,26.55029513888889
D,Solid Waste / Recycling,29.605,-95.234,3,0,0,2.856053240740741
D,Solid Waste / Recycling,29.605,-95.232,3,0,1,4.990104166666667
D,Solid Waste / Recycling,29.605,-95.231,3,0,1,7.772604166666666
D,Solid Waste / Recycling,29.594,-95.227,3,0,1,7.9884375
I,Solid Waste / Recycling,29.67,-95.274,3,0,0,0.530625
I,Solid Waste / Recycling,29.67,-95.266,3,0,1,3.027430555555556
I,Solid Waste / Recycling,29.673,-95.311,3,0,2,43.94864583333333
I,Solid Waste / Recycling,29.673,-95.305,3,1,0,1.045949074074074
I,Solid Waste / Recycling,29.673,-95.274,3,0,1,10.902847222222222
I,Solid Waste / Recycling,29.674,-95.306,3,0,2,29.712766203703705
I,Solid Waste / Recycling,29.675,-95.281,3,3,0,
I,Solid Waste / Recycling,29.684,-95.302,3,0,1,2.9815625
I,Solid Waste / Recycling,29.687,-95.288,3,0,1,5.879351851851852
I,Solid Waste / Recycling,29.677,-95.279,3,0,2,27.770659722222224
I,Solid Waste / Recycling,29.677,-95.257,3,0,2,24.328773148148148
I,Solid Waste / Recycling,29.68,-95.302,3,0,0,6.849398148148148
I,Solid Waste / Recycling,29.68,-95.297,3,0,2,24.207905092592597
I,Solid Waste / Recycling,29.68,-95.295,3,0,0,8.736053240740741
I,Solid Waste / Recycling,29.68,-95.259,3,1,0,1.360271990740741
I,Solid Waste / Recycling,29.681,-95.299,3,0,3,102.94023148148148
I,Solid Waste / Recycling,29.681,-95.295,3,0,2,15.858101851851853
A,Traffic Signals / Lighting,29.851,-95.495,3,0,0,0.0148263888888888
A,Traffic Signals / Lighting,29.856,-95.519,3,1,1,8.579126157407408
A,Traffic Signals / Lighting,29.861,-95.488,3,1,0,2.735636574074074
I,Solid Waste / Recycling,29.67,-95.281,3,1,0,2.995474537037037
C,Solid Waste / Recycling,29.738,-95.423,3,0,0,1.0992708333333334
C,Solid Waste / Recycling,29.738,-95.421,3,0,0,3.965717592592593
D,Solid Waste / Recycling,29.601,-95.212,3,1,1,10.377690972222222
D,Solid Waste / Recycling,29.601,-95.21,3,1,1,34.661689814814814
D,Solid Waste / Recycling,29.602,-95.211,3,0,3,19.12550925925926
D,Solid Waste / Recycling,29.603,-95.229,3,0,1,5.256747685185185
D,Solid Waste / Recycling,29.603,-95.221,3,1,0,1.5529629629629629
D,Solid Waste / Recycling,29.604,-95.311,3,0,2,23.69559027777778
D,Solid Waste / Recycling,29.604,-95.233,3,1,0,5.119704861111112
D,Sewer / Wastewater,29.729,-95.346,3,0,1,0.0181597222222222
A,Traffic Signals / Lighting,29.88,-95.609,3,0,0,0.6772337962962963
A,Traffic Signals / Lighting,29.9,-95.496,3,0,0,2.0076388888888888
A,Water,29.774,-95.486,3,0,0,0.1314583333333333
A,Water,29.788,-95.464,3,0,0,0.1878356481481481
A,Water,29.788,-95.463,3,1,0,1.5393344907407411
I,Solid Waste / Recycling,29.682,-95.291,3,0,1,1.963310185185185
I,Solid Waste / Recycling,29.683,-95.263,3,0,1,4.365439814814815
I,Solid Waste / Recycling,29.684,-95.307,3,2,1,34.87997685185185
I,Solid Waste / Recycling,29.705,-95.321,3,0,1,6.101956018518519
I,Solid Waste / Recycling,29.706,-95.299,3,1,1,22.787199074074078
I,Solid Waste / Recycling,29.707,-95.297,3,0,0,9.7078125
I,Solid Waste / Recycling,29.688,-95.299,3,1,2,68.8783912037037
I,Solid Waste / Recycling,29.688,-95.294,3,0,2,21.90542824074074
I,Solid Waste / Recycling,29.69,-95.279,3,1,1,17.450746527777774
I,Solid Waste / Recycling,29.692,-95.296,3,0,0,1.7271759259259258
I,Solid Waste / Recycling,29.692,-95.282,3,0,2,24.042152777777776
I,Solid Waste / Recycling,29.693,-95.296,3,0,2,43.92137731481481
I,Solid Waste / Recycling,29.693,-95.292,3,0,1,24.935810185185183
I,Solid Waste / Recycling,29.693,-95.291,3,0,2,19.91704861111111
I,Solid Waste / Recycling,29.694,-95.266,3,0,2,63.949160879629616
I,Solid Waste / Recycling,29.695,-95.308,3,0,0,1.7587152777777777
I,Solid Waste / Recycling,29.696,-95.309,3,1,0,6.552337962962963
D,Solid Waste / Recycling,29.6,-95.214,3,1,2,36.487864583333334
D,Solid Waste / Recycling,29.6,-95.209,3,0,1,29.864155092592597
D,Sewer / Wastewater,29.741,-95.363,3,0,0,0.8774305555555556
D,Solid Waste / Recycling,29.586,-95.201,3,1,0,3.9625636574074075
D,Solid Waste / Recycling,29.59,-95.229,3,0,0,1.202986111111111
D,Solid Waste / Recycling,29.591,-95.344,3,1,0,2.875810185185185
D,Solid Waste / Recycling,29.592,-95.198,3,0,0,2.0463078703703705
D,Solid Waste / Recycling,29.593,-95.202,3,1,0,3.16443287037037
D,Solid Waste / Recycling,29.593,-95.199,3,0,1,27.273015046296297
D,Solid Waste / Recycling,29.593,-95.197,3,1,1,25.43457175925926
D,Sewer / Wastewater,29.673,-95.336,3,0,0,0.084224537037037
I,Solid Waste / Recycling,29.698,-95.281,3,0,0,12.837141203703704
I,Solid Waste / Recycling,29.7,-95.305,3,0,0,3.715717592592593
I,Solid Waste / Recycling,29.701,-95.323,3,0,2,14.062719907407407
I,Solid Waste / Recycling,29.702,-95.324,3,1,0,4.58375
I,Solid Waste / Recycling,29.702,-95.323,3,1,0,1.0118749999999999
I,Solid Waste / Recycling,29.704,-95.32,3,0,1,1.033136574074074
I,Solid Waste / Recycling,29.704,-95.31,3,0,0,2.929849537037037
I,Solid Waste / Recycling,29.709,-95.284,3,1,0,2.089866898148148
I,Solid Waste / Recycling,29.709,-95.282,3,0,0,3.653634259259259
I,Solid Waste / Recycling,29.71,-95.292,3,1,1,15.877135416666667
I,Solid Waste / Recycling,29.711,-95.299,3,0,0,0.1374189814814815
I,Solid Waste / Recycling,29.707,-95.296,3,1,0,0.3017129629629629
I,Solid Waste / Recycling,29.707,-95.29,3,0,0,3.8341319444444446
I,Solid Waste / Recycling,29.707,-95.288,3,0,0,4.707476851851852
I,Solid Waste / Recycling,29.707,-95.284,3,0,1,9.951435185185185
I,Solid Waste / Recycling,29.708,-95.286,3,0,0,2.7796527777777778
I,Solid Waste / Recycling,29.708,-95.281,3,0,0,0.7564467592592593
I,Solid Waste / Recycling,29.709,-95.303,3,0,2,31.931851851851853
I,Solid Waste / Recycling,29.709,-95.302,3,0,1,32.822615740740744
I,Solid Waste / Recycling,29.709,-95.299,3,0,1,17.979091435185186
I,Solid Waste / Recycling,29.709,-95.287,3,0,1,7.995694444444444
A,Traffic Signals / Lighting,29.827,-95.545,3,0,0,0.7090277777777778
I,Solid Waste / Recycling,29.696,-95.281,3,0,1,5.111030092592593
D,Sewer / Wastewater,29.683,-95.335,3,0,0,4.099548611111112
D,Sewer / Wastewater,29.687,-95.377,3,0,0,0.7353587962962963
D,Sewer / Wastewater,29.689,-95.385,3,0,0,0.1132638888888888
D,Sewer / Wastewater,29.691,-95.344,3,1,0,0.5874884259259259
D,Sewer / Wastewater,29.691,-95.337,3,1,0,0.48393518518518513
D,Sewer / Wastewater,29.707,-95.333,3,0,0,0.069375
D,Sewer / Wastewater,29.716,-95.346,3,0,0,0.1926041666666666
D,Sewer / Wastewater,29.72,-95.377,3,0,1,12.867152777777775
D,Sewer / Wastewater,29.728,-95.372,3,0,0,0.3556712962962963
D,Sewer / Wastewater,29.729,-95.361,3,0,1,5.088368055555556
A,Traffic Signals / Lighting,29.833,-95.489,3,1,1,13.433964120370371
A,Traffic Signals / Lighting,29.841,-95.515,3,0,0,0.3987326388888888
A,Traffic Signals / Lighting,29.841,-95.48,3,0,0,3.123854166666667
A,Traffic Signals / Lighting,29.848,-95.473,3,0,0,3.909976851851852
A,Traffic Signals / Lighting,29.849,-95.473,3,0,0,2.0794907407407406
A,Traffic Signals / Lighting,29.85,-95.545,3,0,0,0.8199305555555556
I,Solid Waste / Recycling,29.72,-95.289,3,0,2,24.886423611111116
I,Solid Waste / Recycling,29.711,-95.295,3,0,2,29.654340277777777
I,Solid Waste / Recycling,29.711,-95.293,3,0,3,19.758645833333333
I,Solid Waste / Recycling,29.711,-95.289,3,1,1,7.8545543981481485
I,Solid Waste / Recycling,29.711,-95.285,3,0,1,10.99480324074074
I,Solid Waste / Recycling,29.712,-95.295,3,1,0,2.285596064814815
I,Solid Waste / Recycling,29.712,-95.291,3,1,2,37.309299768518514
I,Solid Waste / Recycling,29.712,-95.289,3,0,0,1.167372685185185
I,Solid Waste / Recycling,29.712,-95.283,3,0,0,6.6500462962962965
I,Solid Waste / Recycling,29.713,-95.299,3,1,1,8.77203125
I,Solid Waste / Recycling,29.713,-95.298,3,1,1,15.030283564814813
I,Solid Waste / Recycling,29.714,-95.289,3,2,0,0.7261805555555556
I,Solid Waste / Recycling,29.715,-95.292,3,0,1,7.907418981481482
I,Solid Waste / Recycling,29.715,-95.286,3,0,0,1.0092013888888889
A,Traffic Signals / Lighting,29.832,-95.562,3,2,0,8.967835648148148
D,Sewer / Wastewater,29.676,-95.368,3,0,1,0.8158796296296297
C,Solid Waste / Recycling,29.74,-95.394,3,0,2,28.85685185185185
C,Solid Waste / Recycling,29.74,-95.384,3,0,1,6.158912037037037
C,Solid Waste / Recycling,29.741,-95.414,3,0,0,5.98619212962963
C,Solid Waste / Recycling,29.741,-95.405,3,1,1,9.027100694444444
C,Solid Waste / Recycling,29.741,-95.403,3,0,1,2.162349537037037
C,Solid Waste / Recycling,29.741,-95.401,3,0,2,29.792337962962964
D,Sewer / Wastewater,29.657,-95.38,3,0,0,0.970300925925926
D,Sewer / Wastewater,29.671,-95.394,3,0,0,0.8501273148148148
I,Solid Waste / Recycling,29.717,-95.325,3,0,2,20.650810185185183
I,Solid Waste / Recycling,29.718,-95.322,3,0,3,22.06453703703704
I,Solid Waste / Recycling,29.719,-95.291,3,0,1,16.550746527777775
I,Solid Waste / Recycling,29.72,-95.301,3,0,1,2.1622569444444446
I,Solid Waste / Recycling,29.72,-95.3,3,0,0,3.873784722222222
I,Solid Waste / Recycling,29.72,-95.294,3,0,1,10.699247685185185
I,Solid Waste / Recycling,29.72,-95.293,3,1,1,10.378796296296295
I,Solid Waste / Recycling,29.72,-95.291,3,0,2,15.903090277777778
I,Solid Waste / Recycling,29.727,-95.321,3,0,2,27.898819444444445
I,Solid Waste / Recycling,29.727,-95.3,3,1,1,7.97972800925926
